ticker,endeks_adi,olcum_tarihi
AKSA,BIST KURUMSAL YÖNETİM,2026-08-08
AKSA,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
AKSA,BIST TEMETTU 5 YIL,2026-08-08
AKSA,BIST SINAİ,2026-08-08
AKSA,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKSA,BIST TÜM,2026-08-08
AKSEN,BIST 100-30,2026-08-08
AKSEN,BIST KURUMSAL YÖNETİM,2026-08-08
AKSEN,BIST İSTANBUL,2026-08-08
AKSEN,BIST HİZMETLER,2026-08-08
AKSEN,BIST 50,2026-08-08
AKSEN,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKSEN,BIST TÜM,2026-08-08
AKSEN,BIST YILDIZ,2026-08-08
AKSEN,BIST 500,2026-08-08
AKSEN,BIST 100,2026-08-08
AKSEN,BIST ELEKTRİK,2026-08-08
AKSGY,BIST TÜM,2026-08-08
AKSGY,BIST KURUMSAL YÖNETİM,2026-08-08
AKSGY,BIST TÜM-100,2026-08-08
AKSGY,BIST YILDIZ,2026-08-08
AKSGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AKSGY,BIST TEMETTÜ,2026-08-08
AKSGY,BIST GERİ ALIM,2026-08-08
AKSGY,BIST 500,2026-08-08
AKSGY,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKSGY,BIST MALİ,2026-08-08
AKSUE,BIST HİZMETLER,2026-08-08
AKSUE,BIST ANA,2026-08-08
AKSUE,BIST ELEKTRİK,2026-08-08
AKSUE,BIST TÜM-100,2026-08-08
AKSUE,BIST 500,2026-08-08
AKSUE,BIST TÜM,2026-08-08
AKYHO,BIST HOLDİNG VE YATIRIM,2026-08-08
AKYHO,BIST TÜM-100,2026-08-08
AKYHO,BIST MALİ,2026-08-08
AKYHO,BIST İSTANBUL,2026-08-08
AKYHO,BIST TÜM,2026-08-08
ALARK,BIST İSTANBUL,2026-08-08
ALARK,BIST 500,2026-08-08
ALARK,BIST 100,2026-08-08
ALARK,BIST YILDIZ,2026-08-08
ALARK,BIST 50,2026-08-08
ALARK,BIST 100-30,2026-08-08
ALARK,BIST TEMETTU 5 YIL,2026-08-08
ALARK,BIST HOLDİNG VE YATIRIM,2026-08-08
ALARK,BIST TEMETTU 10 YIL,2026-08-08
ALARK,BIST MALİ,2026-08-08
ALARK,BIST KURUMSAL YÖNETİM,2026-08-08
ALARK,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ALARK,BIST TÜM,2026-08-08
ALBRK,BIST KATILIM 100,2026-08-08
